RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
RPM: 0.00 || Temperatura: 50.29 || Tensao: 1.24 || Corrente: 2.70
